event-id,visible,timestamp,location-long,location-lat,gps:dop,gps-time-to-fix,height-above-msl,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3401862872,true,2007-03-20 02:07:00.000,-75.467318,4.727452,2.1,1.0,1620.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862873,true,2007-03-20 03:00:00.000,-75.465022,4.73159,2.9,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862874,true,2007-03-20 03:30:00.000,-75.47805,4.726213,3.1,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862875,true,2007-03-20 10:01:00.000,-75.475067,4.714667,7.0,89.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862876,true,2007-03-20 12:00:00.000,-75.475212,4.713707,4.8,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862877,true,2007-03-20 12:31:00.000,-75.469153,4.720265,2.4,89.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862878,true,2007-03-21 02:01:00.000,-75.469073,4.720905,2.1,67.0,2859.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862879,true,2007-03-21 04:01:00.000,-75.469112,4.720733,2.4,79.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862880,true,2007-03-21 05:01:00.000,-75.469133,4.722245,1.6,70.0,2665.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862881,true,2007-03-21 05:30:00.000,-75.468787,4.722473,3.6,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862882,true,2007-03-21 06:31:00.000,-75.472193,4.721592,6.2,74.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862883,true,2007-03-21 07:00:00.000,-75.46898,4.724613,7.3,52.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862884,true,2007-03-21 07:30:00.000,-75.469703,4.722375,2.4,60.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862885,true,2007-03-21 08:00:00.000,-75.469628,4.722673,2.1,64.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862886,true,2007-03-21 08:30:00.000,-75.469302,4.722472,1.9,72.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862887,true,2007-03-21 09:00:00.000,-75.46955,4.722118,2.1,41.0,2669.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862888,true,2007-03-21 09:30:00.000,-75.468448,4.72195,3.3,44.0,2670.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862889,true,2007-03-21 10:00:00.000,-75.469158,4.722757,5.9,54.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862890,true,2007-03-21 10:30:00.000,-75.469682,4.722463,4.5,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862891,true,2007-03-21 11:30:00.000,-75.474093,4.723097,2.5,66.0,2670.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862892,true,2007-03-21 12:00:00.000,-75.46867,4.721273,3.0,54.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862893,true,2007-03-21 12:30:00.000,-75.469173,4.721397,2.0,48.0,2671.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862894,true,2007-03-21 13:00:00.000,-75.470033,4.72361,10.3,57.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862895,true,2007-03-21 16:00:00.000,-75.466958,4.720317,8.4,65.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862896,true,2007-03-21 17:00:00.000,-75.468967,4.721597,2.3,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862897,true,2007-03-21 17:31:00.000,-75.468782,4.721945,2.2,89.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862898,true,2007-03-21 23:00:00.000,-75.472515,4.720152,11.0,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862899,true,2007-03-22 01:01:00.000,-75.470103,4.720438,2.2,80.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862900,true,2007-03-22 01:30:00.000,-75.470013,4.719162,3.5,41.0,3476.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862901,true,2007-03-22 02:00:00.000,-75.470127,4.721042,5.1,39.0,2854.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862902,true,2007-03-22 02:31:00.000,-75.469618,4.720428,2.9,80.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862903,true,2007-03-22 03:30:00.000,-75.4696,4.720293,3.5,65.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862904,true,2007-03-22 04:00:00.000,-75.469357,4.720263,5.2,58.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862905,true,2007-03-22 05:00:00.000,-75.469048,4.721103,1.5,41.0,2866.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862906,true,2007-03-22 06:30:00.000,-75.468812,4.722272,2.2,46.0,2888.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862907,true,2007-03-22 10:00:00.000,-75.469282,4.721848,5.3,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862908,true,2007-03-22 10:31:00.000,-75.4684,4.722518,7.9,80.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862909,true,2007-03-22 11:00:00.000,-75.468922,4.72224,2.5,30.0,2888.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862910,true,2007-03-22 11:30:00.000,-75.468772,4.722123,2.1,30.0,2888.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862911,true,2007-03-22 13:00:00.000,-75.469397,4.723232,4.3,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862912,true,2007-03-22 15:01:00.000,-75.469208,4.72374,2.1,88.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862913,true,2007-03-22 15:31:00.000,-75.468388,4.724343,1.7,67.0,3123.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862914,true,2007-03-22 16:30:00.000,-75.468013,4.723702,2.4,64.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862915,true,2007-03-23 04:01:00.000,-75.468923,4.725415,3.5,74.0,2932.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862916,true,2007-03-23 04:30:00.000,-75.469155,4.727553,1.8,45.0,2932.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862917,true,2007-03-23 05:00:00.000,-75.469155,4.727633,1.6,19.0,2914.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862918,true,2007-03-23 05:30:00.000,-75.469123,4.727522,1.5,34.0,2921.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862919,true,2007-03-23 06:01:00.000,-75.46888,4.727122,2.1,88.0,2929.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862920,true,2007-03-23 06:30:00.000,-75.468973,4.726893,2.2,28.0,2904.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862921,true,2007-03-23 07:00:00.000,-75.468902,4.72701,2.4,52.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862922,true,2007-03-23 07:30:00.000,-75.468863,4.726958,2.5,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862923,true,2007-03-23 08:00:00.000,-75.468917,4.726948,2.0,63.0,2906.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
