timestamp,location-long,location-lat,gps:dop,sensor-type,individual-local-identifier
3/20/2007 2:07:00,-75.467318,4.727452,2.1,gps,1(T5H-1363)
3/20/2007 3:00:00,-75.465022,4.73159,2.9,gps,1(T5H-1363)
3/20/2007 3:30:00,-75.47805,4.726213,3.1,gps,1(T5H-1363)
3/20/2007 10:01:00,-75.475067,4.714667,7,gps,1(T5H-1363)
3/20/2007 12:00:00,-75.475212,4.713707,4.8,gps,1(T5H-1363)
3/20/2007 12:31:00,-75.469153,4.720265,2.4,gps,1(T5H-1363)
3/21/2007 2:01:00,-75.469073,4.720905,2.1,gps,1(T5H-1363)
3/21/2007 4:01:00,-75.469112,4.720733,2.4,gps,1(T5H-1363)
3/21/2007 5:01:00,-75.469133,4.722245,1.6,gps,1(T5H-1363)
3/21/2007 5:30:00,-75.468787,4.722473,3.6,gps,1(T5H-1363)
3/21/2007 6:31:00,-75.472193,4.721592,6.2,gps,1(T5H-1363)
3/21/2007 7:00:00,-75.46898,4.724613,7.3,gps,1(T5H-1363)
3/21/2007 7:30:00,-75.469703,4.722375,2.4,gps,1(T5H-1363)
3/21/2007 8:00:00,-75.469628,4.722673,2.1,gps,1(T5H-1363)
3/21/2007 8:30:00,-75.469302,4.722472,1.9,gps,1(T5H-1363)
3/21/2007 9:00:00,-75.46955,4.722118,2.1,gps,1(T5H-1363)
3/21/2007 9:30:00,-75.468448,4.72195,3.3,gps,1(T5H-1363)
3/21/2007 10:00:00,-75.469158,4.722757,5.9,gps,1(T5H-1363)
3/21/2007 10:30:00,-75.469682,4.722463,4.5,gps,1(T5H-1363)
3/21/2007 11:30:00,-75.474093,4.723097,2.5,gps,1(T5H-1363)
3/21/2007 12:00:00,-75.46867,4.721273,3,gps,1(T5H-1363)
3/21/2007 12:30:00,-75.469173,4.721397,2,gps,1(T5H-1363)
3/21/2007 13:00:00,-75.470033,4.72361,10.3,gps,1(T5H-1363)
3/21/2007 16:00:00,-75.466958,4.720317,8.4,gps,1(T5H-1363)
3/21/2007 17:00:00,-75.468967,4.721597,2.3,gps,1(T5H-1363)
3/21/2007 17:31:00,-75.468782,4.721945,2.2,gps,1(T5H-1363)
3/21/2007 23:00:00,-75.472515,4.720152,11,gps,1(T5H-1363)
3/22/2007 1:01:00,-75.470103,4.720438,2.2,gps,1(T5H-1363)
3/22/2007 1:30:00,-75.470013,4.719162,3.5,gps,1(T5H-1363)
3/22/2007 2:00:00,-75.470127,4.721042,5.1,gps,1(T5H-1363)
3/22/2007 2:31:00,-75.469618,4.720428,2.9,gps,1(T5H-1363)
3/22/2007 3:30:00,-75.4696,4.720293,3.5,gps,1(T5H-1363)
3/22/2007 4:00:00,-75.469357,4.720263,5.2,gps,1(T5H-1363)
3/22/2007 5:00:00,-75.469048,4.721103,1.5,gps,1(T5H-1363)
3/22/2007 6:30:00,-75.468812,4.722272,2.2,gps,1(T5H-1363)
3/22/2007 10:00:00,-75.469282,4.721848,5.3,gps,1(T5H-1363)
3/22/2007 10:31:00,-75.4684,4.722518,7.9,gps,1(T5H-1363)
3/22/2007 11:00:00,-75.468922,4.72224,2.5,gps,1(T5H-1363)
3/22/2007 11:30:00,-75.468772,4.722123,2.1,gps,1(T5H-1363)
3/22/2007 13:00:00,-75.469397,4.723232,4.3,gps,1(T5H-1363)
3/22/2007 15:01:00,-75.469208,4.72374,2.1,gps,1(T5H-1363)
3/22/2007 15:31:00,-75.468388,4.724343,1.7,gps,1(T5H-1363)
3/22/2007 16:30:00,-75.468013,4.723702,2.4,gps,1(T5H-1363)
3/23/2007 4:01:00,-75.468923,4.725415,3.5,gps,1(T5H-1363)
3/23/2007 4:30:00,-75.469155,4.727553,1.8,gps,1(T5H-1363)
3/23/2007 5:00:00,-75.469155,4.727633,1.6,gps,1(T5H-1363)
3/23/2007 5:30:00,-75.469123,4.727522,1.5,gps,1(T5H-1363)
3/23/2007 6:01:00,-75.46888,4.727122,2.1,gps,1(T5H-1363)
3/23/2007 6:30:00,-75.468973,4.726893,2.2,gps,1(T5H-1363)
3/23/2007 7:00:00,-75.468902,4.72701,2.4,gps,1(T5H-1363)
3/23/2007 7:30:00,-75.468863,4.726958,2.5,gps,1(T5H-1363)
3/23/2007 8:00:00,-75.468917,4.726948,2,gps,1(T5H-1363)
3/23/2007 8:31:00,-75.468923,4.726932,2,gps,1(T5H-1363)
3/23/2007 9:00:00,-75.46898,4.726953,2.3,gps,1(T5H-1363)
3/23/2007 10:00:00,-75.4681,4.72556,4.1,gps,1(T5H-1363)
3/23/2007 10:30:00,-75.468808,4.72726,2.2,gps,1(T5H-1363)
3/23/2007 11:00:00,-75.469143,4.727018,2,gps,1(T5H-1363)
3/23/2007 11:31:00,-75.469097,4.727342,3.4,gps,1(T5H-1363)
3/23/2007 12:00:00,-75.468862,4.727423,2.9,gps,1(T5H-1363)
3/23/2007 12:30:00,-75.46896,4.726823,1.8,gps,1(T5H-1363)
3/23/2007 13:00:00,-75.468497,4.726848,3.2,gps,1(T5H-1363)
3/23/2007 13:30:00,-75.468507,4.727232,2,gps,1(T5H-1363)
3/23/2007 14:00:00,-75.468368,4.727572,2.1,gps,1(T5H-1363)
3/23/2007 14:30:00,-75.468052,4.726708,3.9,gps,1(T5H-1363)
3/23/2007 15:01:00,-75.468395,4.72676,4.4,gps,1(T5H-1363)
3/23/2007 15:30:00,-75.468247,4.726937,1.4,gps,1(T5H-1363)
3/23/2007 16:00:00,-75.468075,4.726957,1.7,gps,1(T5H-1363)
3/23/2007 16:30:00,-75.468175,4.727203,3,gps,1(T5H-1363)
3/23/2007 18:01:00,-75.46806,4.727013,2.5,gps,1(T5H-1363)
3/23/2007 19:30:00,-75.46811,4.727108,2,gps,1(T5H-1363)
3/23/2007 20:01:00,-75.468057,4.727155,2,gps,1(T5H-1363)
3/23/2007 20:30:00,-75.468005,4.727125,1.9,gps,1(T5H-1363)
3/23/2007 21:00:00,-75.468055,4.72704,1.6,gps,1(T5H-1363)
3/23/2007 22:00:00,-75.468185,4.727188,9.4,gps,1(T5H-1363)
3/23/2007 22:30:00,-75.468335,4.72761,8.5,gps,1(T5H-1363)
3/23/2007 23:00:00,-75.467732,4.727108,6.2,gps,1(T5H-1363)
3/23/2007 23:30:00,-75.46789,4.727012,1.8,gps,1(T5H-1363)
3/24/2007 0:00:00,-75.467875,4.727142,1.6,gps,1(T5H-1363)
3/24/2007 0:30:00,-75.467675,4.727287,9.3,gps,1(T5H-1363)
3/24/2007 1:00:00,-75.468023,4.727427,1.9,gps,1(T5H-1363)
3/24/2007 1:31:00,-75.468065,4.727402,1.9,gps,1(T5H-1363)
3/24/2007 2:00:00,-75.467858,4.727147,4.6,gps,1(T5H-1363)
3/24/2007 2:30:00,-75.46736,4.727008,3.5,gps,1(T5H-1363)
3/24/2007 3:00:00,-75.467672,4.726868,2.2,gps,1(T5H-1363)
3/24/2007 3:30:00,-75.46801,4.727167,3.1,gps,1(T5H-1363)
3/24/2007 4:00:00,-75.467787,4.72738,1.8,gps,1(T5H-1363)
3/24/2007 4:30:00,-75.466513,4.729105,1.6,gps,1(T5H-1363)
3/24/2007 5:30:00,-75.46822,4.729798,2.1,gps,1(T5H-1363)
3/24/2007 6:00:00,-75.46821,4.729638,1.8,gps,1(T5H-1363)
3/24/2007 6:30:00,-75.468468,4.729438,2.2,gps,1(T5H-1363)
3/24/2007 7:00:00,-75.468213,4.728947,3.2,gps,1(T5H-1363)
3/24/2007 7:30:00,-75.467732,4.728952,1.8,gps,1(T5H-1363)
3/24/2007 8:00:00,-75.467792,4.728707,1.8,gps,1(T5H-1363)
3/24/2007 8:30:00,-75.467343,4.728345,1.9,gps,1(T5H-1363)
3/24/2007 9:00:00,-75.469157,4.728965,3.2,gps,1(T5H-1363)
3/24/2007 9:30:00,-75.468,4.728895,3.4,gps,1(T5H-1363)
3/24/2007 10:00:00,-75.467842,4.728722,4.6,gps,1(T5H-1363)
3/24/2007 10:30:00,-75.467668,4.72873,1.4,gps,1(T5H-1363)
3/24/2007 11:00:00,-75.467822,4.728732,1.9,gps,1(T5H-1363)
3/24/2007 11:30:00,-75.467777,4.729133,2,gps,1(T5H-1363)
3/24/2007 12:00:00,-75.467773,4.729475,2.1,gps,1(T5H-1363)
3/24/2007 12:30:00,-75.467955,4.729553,2.1,gps,1(T5H-1363)
3/24/2007 13:00:00,-75.467955,4.729168,3.1,gps,1(T5H-1363)
