timestamp,location-long,location-lat,sensor-type,individual-local-identifier
07:00.0,-75.467318,4.727452,gps,1(T5H-1363)
00:00.0,-75.465022,4.73159,gps,1(T5H-1363)
30:00.0,-75.47805,4.726213,gps,1(T5H-1363)
01:00.0,-75.475067,4.714667,gps,1(T5H-1363)
00:00.0,-75.475212,4.713707,gps,1(T5H-1363)
31:00.0,-75.469153,4.720265,gps,1(T5H-1363)
01:00.0,-75.469073,4.720905,gps,1(T5H-1363)
01:00.0,-75.469112,4.720733,gps,1(T5H-1363)
01:00.0,-75.469133,4.722245,gps,1(T5H-1363)
30:00.0,-75.468787,4.722473,gps,1(T5H-1363)
31:00.0,-75.472193,4.721592,gps,1(T5H-1363)
00:00.0,-75.46898,4.724613,gps,1(T5H-1363)
30:00.0,-75.469703,4.722375,gps,1(T5H-1363)
00:00.0,-75.469628,4.722673,gps,1(T5H-1363)
30:00.0,-75.469302,4.722472,gps,1(T5H-1363)
00:00.0,-75.46955,4.722118,gps,1(T5H-1363)
30:00.0,-75.468448,4.72195,gps,1(T5H-1363)
00:00.0,-75.469158,4.722757,gps,1(T5H-1363)
30:00.0,-75.469682,4.722463,gps,1(T5H-1363)
30:00.0,-75.474093,4.723097,gps,1(T5H-1363)
00:00.0,-75.46867,4.721273,gps,1(T5H-1363)
30:00.0,-75.469173,4.721397,gps,1(T5H-1363)
00:00.0,-75.470033,4.72361,gps,1(T5H-1363)
00:00.0,-75.466958,4.720317,gps,1(T5H-1363)
00:00.0,-75.468967,4.721597,gps,1(T5H-1363)
31:00.0,-75.468782,4.721945,gps,1(T5H-1363)
00:00.0,-75.472515,4.720152,gps,1(T5H-1363)
01:00.0,-75.470103,4.720438,gps,1(T5H-1363)
30:00.0,-75.470013,4.719162,gps,1(T5H-1363)
00:00.0,-75.470127,4.721042,gps,1(T5H-1363)
31:00.0,-75.469618,4.720428,gps,1(T5H-1363)
30:00.0,-75.4696,4.720293,gps,1(T5H-1363)
00:00.0,-75.469357,4.720263,gps,1(T5H-1363)
00:00.0,-75.469048,4.721103,gps,1(T5H-1363)
30:00.0,-75.468812,4.722272,gps,1(T5H-1363)
00:00.0,-75.469282,4.721848,gps,1(T5H-1363)
31:00.0,-75.4684,4.722518,gps,1(T5H-1363)
00:00.0,-75.468922,4.72224,gps,1(T5H-1363)
30:00.0,-75.468772,4.722123,gps,1(T5H-1363)
00:00.0,-75.469397,4.723232,gps,1(T5H-1363)
01:00.0,-75.469208,4.72374,gps,1(T5H-1363)
31:00.0,-75.468388,4.724343,gps,1(T5H-1363)
30:00.0,-75.468013,4.723702,gps,1(T5H-1363)
01:00.0,-75.468923,4.725415,gps,1(T5H-1363)
30:00.0,-75.469155,4.727553,gps,1(T5H-1363)
00:00.0,-75.469155,4.727633,gps,1(T5H-1363)
30:00.0,-75.469123,4.727522,gps,1(T5H-1363)
01:00.0,-75.46888,4.727122,gps,1(T5H-1363)
30:00.0,-75.468973,4.726893,gps,1(T5H-1363)
00:00.0,-75.468902,4.72701,gps,1(T5H-1363)
30:00.0,-75.468863,4.726958,gps,1(T5H-1363)
00:00.0,-75.468917,4.726948,gps,1(T5H-1363)
31:00.0,-75.468923,4.726932,gps,1(T5H-1363)
00:00.0,-75.46898,4.726953,gps,1(T5H-1363)
00:00.0,-75.4681,4.72556,gps,1(T5H-1363)
30:00.0,-75.468808,4.72726,gps,1(T5H-1363)
00:00.0,-75.469143,4.727018,gps,1(T5H-1363)
31:00.0,-75.469097,4.727342,gps,1(T5H-1363)
00:00.0,-75.468862,4.727423,gps,1(T5H-1363)
30:00.0,-75.46896,4.726823,gps,1(T5H-1363)
00:00.0,-75.468497,4.726848,gps,1(T5H-1363)
30:00.0,-75.468507,4.727232,gps,1(T5H-1363)
00:00.0,-75.468368,4.727572,gps,1(T5H-1363)
30:00.0,-75.468052,4.726708,gps,1(T5H-1363)
01:00.0,-75.468395,4.72676,gps,1(T5H-1363)
30:00.0,-75.468247,4.726937,gps,1(T5H-1363)
00:00.0,-75.468075,4.726957,gps,1(T5H-1363)
30:00.0,-75.468175,4.727203,gps,1(T5H-1363)
01:00.0,-75.46806,4.727013,gps,1(T5H-1363)
30:00.0,-75.46811,4.727108,gps,1(T5H-1363)
01:00.0,-75.468057,4.727155,gps,1(T5H-1363)
30:00.0,-75.468005,4.727125,gps,1(T5H-1363)
00:00.0,-75.468055,4.72704,gps,1(T5H-1363)
00:00.0,-75.468185,4.727188,gps,1(T5H-1363)
30:00.0,-75.468335,4.72761,gps,1(T5H-1363)
00:00.0,-75.467732,4.727108,gps,1(T5H-1363)
