timestamp,location-long,location-lat,sensor-type,individual-local-identifier
00:00.0,-115.6598,51.60419,gps,68
00:00.0,-115.66047,51.6045,gps,68
00:00.0,-115.66018,51.60392,gps,68
00:00.0,-115.66083,51.60407,gps,68
00:00.0,-115.66813,51.60957,gps,68
00:00.0,-115.69143,51.61837,gps,68
00:00.0,-115.64942,51.5889,gps,68
00:00.0,-115.65227,51.58843,gps,68
00:00.0,-115.65434,51.5741,gps,68
00:00.0,-115.59983,51.56191,gps,68
00:00.0,-115.65181,51.58891,gps,68
00:00.0,-115.65186,51.58895,gps,68
00:00.0,-115.65187,51.58888,gps,68
00:00.0,-115.65184,51.58899,gps,68
00:00.0,-115.65096,51.58893,gps,68
00:00.0,-115.64601,51.58843,gps,68
00:00.0,-115.64612,51.58851,gps,68
00:00.0,-115.64608,51.588,gps,68
00:00.0,-115.64604,51.58741,gps,68
00:00.0,-115.64601,51.58753,gps,68
00:00.0,-115.6515,51.58895,gps,68
00:00.0,-115.65203,51.58906,gps,68
00:00.0,-115.65204,51.58908,gps,68
00:00.0,-115.652,51.58895,gps,68
00:00.0,-115.65184,51.58892,gps,68
00:00.0,-115.65186,51.58898,gps,68
00:00.0,-115.65188,51.58883,gps,68
00:00.0,-115.65192,51.58896,gps,68
00:00.0,-115.64705,51.59001,gps,68
00:00.0,-115.63199,51.5959,gps,68
00:00.0,-115.65198,51.58905,gps,68
00:00.0,-115.6509,51.58893,gps,68
00:00.0,-115.63536,51.59476,gps,68
00:00.0,-115.63568,51.59505,gps,68
00:00.0,-115.63206,51.59569,gps,68
00:00.0,-115.63772,51.59655,gps,68
00:00.0,-115.64285,51.5987,gps,68
00:00.0,-115.64274,51.5988,gps,68
00:00.0,-115.64366,51.59895,gps,68
00:00.0,-115.64478,51.60036,gps,68
00:00.0,-115.64849,51.60035,gps,68
00:00.0,-115.6027,51.6073,gps,68
00:00.0,-115.47464,51.62546,gps,68
00:00.0,-115.47481,51.62538,gps,68
00:00.0,-115.48054,51.62121,gps,68
00:00.0,-115.48111,51.6212,gps,68
00:00.0,-115.48123,51.6211,gps,68
00:00.0,-115.48101,51.59636,gps,68
00:00.0,-115.50053,51.62546,gps,68
00:00.0,-115.52341,51.63031,gps,68
00:00.0,-115.52119,51.62822,gps,68
00:00.0,-115.52029,51.6277,gps,68
00:00.0,-115.516,51.63255,gps,68
00:00.0,-115.51907,51.63037,gps,68
00:00.0,-115.52069,51.62785,gps,68
00:00.0,-115.52332,51.63052,gps,68
00:00.0,-115.52043,51.62778,gps,68
00:00.0,-115.52603,51.6358,gps,68
00:00.0,-115.46663,51.61909,gps,68
00:00.0,-115.46717,51.61886,gps,68
00:00.0,-115.46901,51.61869,gps,68
00:00.0,-115.4677,51.61981,gps,68
00:00.0,-115.47033,51.61742,gps,68
00:00.0,-115.46757,51.61905,gps,68
00:00.0,-115.4681,51.61927,gps,68
00:00.0,-115.46806,51.6194,gps,68
00:00.0,-115.4682,51.6192,gps,68
00:00.0,-115.4681,51.61925,gps,68
00:00.0,-115.46815,51.61924,gps,68
00:00.0,-115.46822,51.61933,gps,68
00:00.0,-115.36443,51.68673,gps,79
00:00.0,-115.31882,51.68452,gps,79
00:00.0,-115.32329,51.68536,gps,79
00:00.0,-115.3038,51.67914,gps,79
00:00.0,-115.31281,51.68354,gps,79
00:00.0,-115.31441,51.68327,gps,79
00:00.0,-115.31298,51.68194,gps,79
00:00.0,-115.30343,51.68262,gps,79
00:00.0,-115.31898,51.68479,gps,79
00:00.0,-115.32023,51.68359,gps,79
00:00.0,-115.34403,51.69211,gps,79
00:00.0,-115.32893,51.6896,gps,79
00:00.0,-115.31683,51.68414,gps,79
00:00.0,-115.31454,51.68377,gps,79
00:00.0,-115.27222,51.68759,gps,79
00:00.0,-115.22988,51.71109,gps,79
00:00.0,-115.30193,51.74911,gps,79
00:00.0,-115.30187,51.7491,gps,79
00:00.0,-115.39051,51.79004,gps,79
00:00.0,-115.42054,51.78813,gps,79
00:00.0,-115.42329,51.77901,gps,79
00:00.0,-115.4408,51.80092,gps,79
00:00.0,-115.42068,51.98313,gps,79
00:00.0,-115.36981,51.95744,gps,79
00:00.0,-115.38082,51.95439,gps,79
00:00.0,-115.39153,51.85855,gps,79
00:00.0,-115.40392,51.84377,gps,79
00:00.0,-115.3962,51.83042,gps,79
00:00.0,-115.32489,51.70637,gps,79
00:00.0,-115.31588,51.68372,gps,79
00:00.0,-115.30463,51.67872,gps,79
00:00.0,-115.29922,51.67281,gps,79
00:00.0,-115.30971,51.67182,gps,79
00:00.0,-115.29661,51.66812,gps,79
00:00.0,-115.25376,51.66848,gps,79
00:00.0,-115.24063,51.66685,gps,79
00:00.0,-115.26841,51.67414,gps,79
00:00.0,-115.26803,51.68134,gps,79
00:00.0,-115.26929,51.68072,gps,79
00:00.0,-115.27421,51.66504,gps,79
00:00.0,-115.31497,51.67882,gps,79
00:00.0,-115.30402,51.68269,gps,79
00:00.0,-115.31508,51.67891,gps,79
00:00.0,-115.33915,51.67539,gps,79
00:00.0,-115.39492,51.63378,gps,79
00:00.0,-115.45473,51.69955,gps,79
00:00.0,-115.48062,51.73755,gps,79
00:00.0,-115.43063,51.7343,gps,79
00:00.0,-115.43154,51.73262,gps,79
00:00.0,-115.4877,51.74418,gps,79
00:00.0,-115.4048,51.73601,gps,79
00:00.0,-115.40136,51.74219,gps,79
00:00.0,-115.40591,51.73685,gps,79
00:00.0,-115.40421,51.73666,gps,79
00:00.0,-115.36742,51.74447,gps,79
00:00.0,-115.33346,51.7487,gps,79
00:00.0,-115.25472,51.74305,gps,79
00:00.0,-115.20368,51.73627,gps,79
00:00.0,-115.22175,51.72206,gps,79
00:00.0,-115.24498,51.71372,gps,79
00:00.0,-115.28643,51.7326,gps,79
00:00.0,-115.54834,51.93878,gps,79
00:00.0,-115.37759,51.76651,gps,79
00:00.0,-115.36899,51.70337,gps,79
00:00.0,-115.30011,51.67852,gps,79
00:00.0,-115.2988,51.67235,gps,79
00:00.0,-115.26744,51.69138,gps,79
00:00.0,-115.27079,51.69224,gps,79
00:00.0,-115.2829,51.69149,gps,79
00:00.0,-115.28454,51.6957,gps,79
00:00.0,-115.27378,51.69372,gps,79
00:00.0,-115.2564,51.70316,gps,79
00:00.0,-115.32515,51.76918,gps,79
00:00.0,-115.34375,51.78681,gps,79
00:00.0,-115.34462,51.78559,gps,79
00:00.0,-115.34575,51.78423,gps,79
00:00.0,-115.46189,51.89723,gps,79
00:00.0,-115.44469,51.92836,gps,79
00:00.0,-115.41419,51.92744,gps,79
00:00.0,-115.41815,51.92569,gps,79
00:00.0,-115.35039,51.97158,gps,79
00:00.0,-115.3514,51.88421,gps,79
00:00.0,-115.35792,51.79742,gps,79
00:00.0,-115.34966,51.78627,gps,79
00:00.0,-115.38519,51.74578,gps,79
00:00.0,-115.39935,51.73851,gps,79
00:00.0,-115.37996,51.71189,gps,79
00:00.0,-115.37935,51.71177,gps,79
00:00.0,-115.37252,51.70862,gps,79
00:00.0,-115.37239,51.70861,gps,79
00:00.0,-115.3853,51.71479,gps,79
00:00.0,-115.38128,51.71256,gps,79
00:00.0,-115.38012,51.71077,gps,79
00:00.0,-115.32178,51.69577,gps,79
00:00.0,-115.30055,51.67727,gps,79
00:00.0,-115.30088,51.67777,gps,79
00:00.0,-115.30266,51.66258,gps,79
00:00.0,-115.30066,51.66383,gps,79
00:00.0,-115.27386,51.66399,gps,79
00:00.0,-115.27413,51.66373,gps,79
00:00.0,-115.27412,51.66353,gps,79
00:00.0,-115.27401,51.66376,gps,79
00:00.0,-115.27413,51.66363,gps,79
00:00.0,-115.27415,51.66369,gps,79
00:00.0,-115.66038,51.58706,gps,85
00:00.0,-115.65864,51.59015,gps,85
00:00.0,-115.65836,51.5901,gps,85
00:00.0,-115.65857,51.59033,gps,85
00:00.0,-115.67531,51.58397,gps,85
00:00.0,-115.67573,51.58436,gps,85
00:00.0,-115.66775,51.59792,gps,85
00:00.0,-115.66721,51.59745,gps,85
00:00.0,-115.67451,51.58427,gps,85
00:00.0,-115.67424,51.58365,gps,85
00:00.0,-115.67394,51.58337,gps,85
00:00.0,-115.67443,51.58291,gps,85
00:00.0,-115.66596,51.59089,gps,85
00:00.0,-115.6678,51.59799,gps,85
00:00.0,-115.67408,51.58432,gps,85
00:00.0,-115.6741,51.5833,gps,85
00:00.0,-115.67392,51.58396,gps,85
00:00.0,-115.67501,51.58417,gps,85
00:00.0,-115.6745,51.58313,gps,85
00:00.0,-115.67356,51.58533,gps,85
00:00.0,-115.67328,51.58521,gps,85
00:00.0,-115.67331,51.58528,gps,85
00:00.0,-115.67073,51.5853,gps,85
00:00.0,-115.66733,51.59314,gps,85
00:00.0,-115.659,51.59276,gps,85
00:00.0,-115.66886,51.60398,gps,85
00:00.0,-115.67476,51.58323,gps,85
00:00.0,-115.67323,51.58375,gps,85
00:00.0,-115.67361,51.5838,gps,85
00:00.0,-115.67326,51.5837,gps,85
00:00.0,-115.67325,51.58365,gps,85
00:00.0,-115.67325,51.5837,gps,85
00:00.0,-115.67401,51.58335,gps,85
00:00.0,-115.67328,51.5837,gps,85
00:00.0,-115.67316,51.58359,gps,85
00:00.0,-115.67325,51.5836,gps,85
00:00.0,-115.66875,51.59609,gps,85
00:00.0,-115.67486,51.58288,gps,85
00:00.0,-115.67425,51.58333,gps,85
00:00.0,-115.67322,51.58367,gps,85
00:00.0,-115.67327,51.58371,gps,85
00:00.0,-115.67328,51.58375,gps,85
00:00.0,-115.67436,51.5828,gps,85
00:00.0,-115.67406,51.5833,gps,85
00:00.0,-115.67427,51.58377,gps,85
00:00.0,-115.6742,51.58371,gps,85
00:00.0,-115.67389,51.58376,gps,85
00:00.0,-115.67408,51.58418,gps,85
00:00.0,-115.67089,51.58671,gps,85
00:00.0,-115.66722,51.59792,gps,85
